Name,Mean_TPM
ENSMUST00000103304.3,0.0
ENSMUST00000103305.2,0.0
ENSMUST00000103306.2,0.0
ENSMUST00000200586.2,0.0
ENSMUST00000103309.3,0.0
ENSMUST00000103310.3,0.0
ENSMUST00000196768.2,0.0
ENSMUST00000103312.3,0.0
ENSMUST00000103313.3,0.0
ENSMUST00000103314.3,0.0
ENSMUST00000197515.2,0.0
ENSMUST00000103315.3,0.0
ENSMUST00000103316.2,0.116511375
ENSMUST00000103317.3,0.070644125
ENSMUST00000103318.6,0.0
ENSMUST00000103319.3,0.0
ENSMUST00000103320.3,0.0
ENSMUST00000103321.3,0.0
ENSMUST00000103322.3,0.0
ENSMUST00000103323.3,0.0
ENSMUST00000103324.3,0.0
ENSMUST00000200406.2,0.0
ENSMUST00000103328.3,0.0
ENSMUST00000198735.2,0.0
ENSMUST00000103329.3,0.0
ENSMUST00000103330.2,0.0
ENSMUST00000103332.2,0.0
ENSMUST00000103333.4,0.0
ENSMUST00000103334.4,0.0
ENSMUST00000103336.2,0.08537675
ENSMUST00000198756.2,0.0
ENSMUST00000103372.3,0.0
ENSMUST00000196959.2,0.0
ENSMUST00000103377.3,0.094579625
ENSMUST00000103378.3,0.187423875
ENSMUST00000197525.2,0.0
ENSMUST00000103380.3,0.147434125
ENSMUST00000197272.2,0.0
ENSMUST00000103381.3,0.0
ENSMUST00000103382.2,0.0
ENSMUST00000103383.3,0.0
ENSMUST00000103384.2,0.0
ENSMUST00000196275.2,0.0
ENSMUST00000103386.3,0.0
ENSMUST00000103387.3,0.0
ENSMUST00000103388.4,0.104856
ENSMUST00000196599.2,0.09285875
ENSMUST00000103389.3,0.4450405
ENSMUST00000103390.3,0.0
ENSMUST00000103391.4,0.0
ENSMUST00000103393.2,0.0
ENSMUST00000103394.2,0.0
ENSMUST00000198184.2,0.0
ENSMUST00000103395.2,0.0
ENSMUST00000103396.2,0.0
ENSMUST00000196940.2,0.0
ENSMUST00000103397.3,0.0
ENSMUST00000103398.2,0.0
ENSMUST00000197560.2,0.0
ENSMUST00000103399.3,0.0
ENSMUST00000103400.3,0.0
ENSMUST00000103401.3,0.112603125
ENSMUST00000103402.2,0.0
ENSMUST00000103403.3,0.0792385
ENSMUST00000103404.2,0.1131455
ENSMUST00000103443.3,0.0
ENSMUST00000103444.3,0.0
ENSMUST00000178229.3,0.10622625
ENSMUST00000103446.2,0.0
ENSMUST00000103447.2,0.0
ENSMUST00000103448.3,0.0
ENSMUST00000195707.3,0.0
ENSMUST00000103449.4,0.0
ENSMUST00000103450.4,0.0
ENSMUST00000179657.2,0.0
ENSMUST00000195381.2,0.0
ENSMUST00000180013.3,0.0
ENSMUST00000192911.2,0.0
ENSMUST00000103455.3,0.0
ENSMUST00000103456.4,0.0
ENSMUST00000193652.2,0.0
ENSMUST00000103458.3,0.0
ENSMUST00000103459.5,0.08123725
ENSMUST00000103451.5,0.0
ENSMUST00000103474.5,0.0
ENSMUST00000103463.3,0.0
ENSMUST00000103464.3,0.0
ENSMUST00000103478.4,0.0
ENSMUST00000103466.2,0.0
ENSMUST00000103467.2,0.0
ENSMUST00000103468.3,0.0
ENSMUST00000103469.4,0.0
ENSMUST00000195641.2,0.0
ENSMUST00000103470.2,0.0
ENSMUST00000195884.2,0.0
ENSMUST00000103471.2,0.0
ENSMUST00000103472.4,0.0
ENSMUST00000103473.2,0.0
ENSMUST00000103461.5,0.0
ENSMUST00000195706.2,0.09005675
ENSMUST00000103475.2,0.0
ENSMUST00000191693.2,0.0
ENSMUST00000103476.2,0.0
ENSMUST00000193408.2,0.0
ENSMUST00000195619.2,0.0
ENSMUST00000103479.4,0.0
ENSMUST00000194159.2,0.0
ENSMUST00000103482.2,0.0
ENSMUST00000103483.3,0.0
ENSMUST00000125484.3,0.0
ENSMUST00000183954.4,0.0
ENSMUST00000103485.3,0.0
ENSMUST00000103486.2,0.0
ENSMUST00000191918.2,0.0
ENSMUST00000177949.2,0.0
ENSMUST00000193936.2,0.0
ENSMUST00000179796.2,0.0
ENSMUST00000103489.2,0.0
ENSMUST00000193397.2,0.0
ENSMUST00000195037.2,0.0
ENSMUST00000103492.2,0.08093675
ENSMUST00000103493.3,0.0
ENSMUST00000191803.2,0.0
ENSMUST00000103494.2,0.0
ENSMUST00000103495.3,0.0
ENSMUST00000103496.4,0.0
ENSMUST00000191801.2,0.0
ENSMUST00000195469.6,0.0
ENSMUST00000109711.4,0.0
ENSMUST00000103500.2,0.0
ENSMUST00000192077.2,0.0
ENSMUST00000103501.3,0.0
ENSMUST00000103507.2,0.0
ENSMUST00000194625.2,0.0
ENSMUST00000191861.2,0.0
ENSMUST00000103509.2,0.0
ENSMUST00000103510.2,0.0
ENSMUST00000195735.2,0.0
ENSMUST00000103511.2,0.0
ENSMUST00000103512.3,0.0
ENSMUST00000103515.2,0.117668625
ENSMUST00000191868.2,0.0
ENSMUST00000103516.2,0.0
ENSMUST00000195417.2,0.0
ENSMUST00000103517.2,0.0
ENSMUST00000194865.2,0.0
ENSMUST00000103518.2,0.0
ENSMUST00000192298.2,0.0
ENSMUST00000178949.2,0.0
ENSMUST00000192724.2,0.0
ENSMUST00000103519.2,0.0
ENSMUST00000194257.2,0.0
ENSMUST00000103521.3,0.155328
ENSMUST00000103523.2,0.0
ENSMUST00000193145.2,0.0
ENSMUST00000103524.2,0.0
ENSMUST00000103525.3,0.0
ENSMUST00000103526.3,0.0
ENSMUST00000194071.2,0.0
ENSMUST00000103527.2,0.0
ENSMUST00000192591.2,0.0
ENSMUST00000103529.4,0.0
ENSMUST00000103531.4,0.0
ENSMUST00000103503.4,0.0
ENSMUST00000171270.2,0.0
ENSMUST00000194581.2,0.0
ENSMUST00000163467.2,0.0
ENSMUST00000103532.3,0.0
ENSMUST00000197803.2,0.0
ENSMUST00000103533.2,0.0
ENSMUST00000103534.2,0.0
ENSMUST00000103535.3,0.0
ENSMUST00000103536.4,0.0
ENSMUST00000103537.3,0.0
ENSMUST00000198646.2,0.0
ENSMUST00000103538.3,0.0
ENSMUST00000196690.2,0.0
ENSMUST00000103541.3,0.0
ENSMUST00000164041.3,0.0
ENSMUST00000103542.2,0.0
ENSMUST00000103544.3,0.0
ENSMUST00000197537.2,0.0
ENSMUST00000169155.2,0.0
ENSMUST00000198777.2,0.0
ENSMUST00000170551.2,0.0
ENSMUST00000199373.2,0.0
ENSMUST00000163670.2,0.0
ENSMUST00000103547.2,0.0
ENSMUST00000103548.3,0.0
ENSMUST00000196991.2,0.19294899999999998
ENSMUST00000103549.2,0.0
ENSMUST00000103551.2,0.0
ENSMUST00000103552.2,0.0
ENSMUST00000103746.3,0.070019
ENSMUST00000103751.3,0.0
ENSMUST00000197518.2,0.083778
ENSMUST00000103752.3,0.0
ENSMUST00000195468.6,0.0
ENSMUST00000192264.2,0.0
ENSMUST00000192877.2,0.0
ENSMUST00000193133.3,0.0
ENSMUST00000192499.3,0.0
ENSMUST00000195124.6,0.099487875
ENSMUST00000195337.2,0.0
ENSMUST00000193893.6,0.09005675
ENSMUST00000194350.6,0.0
ENSMUST00000193855.2,0.077229375
ENSMUST00000194968.6,0.0
ENSMUST00000191862.6,0.0
ENSMUST00000193950.6,0.0
ENSMUST00000192554.6,0.098993375
ENSMUST00000195359.6,0.0
ENSMUST00000199933.5,0.0
ENSMUST00000199266.2,0.0
ENSMUST00000196587.5,0.0
ENSMUST00000103349.2,0.0
ENSMUST00000103350.3,0.0
ENSMUST00000103302.3,0.0
ENSMUST00000103303.3,0.0
ENSMUST00000114212.4,0.0
ENSMUST00000103339.2,0.0
ENSMUST00000197966.2,0.0
ENSMUST00000103340.3,0.0
ENSMUST00000103341.4,0.0
ENSMUST00000103342.4,0.0
ENSMUST00000103343.4,0.0
ENSMUST00000103344.3,0.0
ENSMUST00000103346.3,0.09279675
ENSMUST00000196201.2,0.0
ENSMUST00000103348.3,0.0
ENSMUST00000103351.3,0.0
ENSMUST00000196595.2,0.0
ENSMUST00000198345.2,0.0
ENSMUST00000199160.2,0.0
ENSMUST00000103353.3,0.0
ENSMUST00000103354.3,0.0
ENSMUST00000103355.3,0.0
ENSMUST00000197448.2,0.0
ENSMUST00000196006.5,0.0
ENSMUST00000200578.5,0.0
ENSMUST00000197406.5,0.0
ENSMUST00000199510.5,0.0
ENSMUST00000168090.3,0.0
ENSMUST00000196839.5,0.0
ENSMUST00000196863.2,0.0
ENSMUST00000199143.5,0.0
ENSMUST00000200454.2,0.0
ENSMUST00000198880.5,0.0
ENSMUST00000200160.5,0.0
ENSMUST00000197820.5,0.0
ENSMUST00000197429.5,0.109149125
ENSMUST00000197371.2,0.0
ENSMUST00000195945.2,0.0
ENSMUST00000103356.4,0.0
ENSMUST00000103357.4,0.0
ENSMUST00000103359.3,0.086647
ENSMUST00000199437.2,0.0
ENSMUST00000166380.2,0.0
ENSMUST00000198328.2,0.0
ENSMUST00000103345.4,0.0
ENSMUST00000103363.2,0.0
ENSMUST00000103364.3,0.0
ENSMUST00000103365.3,0.341403
ENSMUST00000103366.3,0.0
ENSMUST00000103367.3,0.0
ENSMUST00000103368.3,0.0
ENSMUST00000103369.2,0.0
ENSMUST00000103370.3,0.0
ENSMUST00000197290.2,0.0
ENSMUST00000103569.3,0.0
ENSMUST00000103570.2,0.0
ENSMUST00000103571.2,0.0
ENSMUST00000198019.2,0.0
ENSMUST00000200127.2,0.0
ENSMUST00000181483.3,0.0
ENSMUST00000184883.2,0.0
ENSMUST00000179789.4,0.09766475
ENSMUST00000178768.4,0.0
ENSMUST00000103580.4,0.0
ENSMUST00000178426.4,0.126333375
ENSMUST00000180687.3,0.0
ENSMUST00000103646.5,0.0
ENSMUST00000197754.2,0.0
ENSMUST00000103648.4,0.0
ENSMUST00000197128.2,0.1292475
ENSMUST00000103588.4,0.0
ENSMUST00000181038.3,0.0
ENSMUST00000187138.2,0.0
ENSMUST00000199746.5,0.0
ENSMUST00000178824.2,0.221421875
ENSMUST00000103592.2,0.128659625
ENSMUST00000178252.3,0.0
ENSMUST00000177703.3,0.0
ENSMUST00000197954.2,0.0
ENSMUST00000103596.3,0.0
ENSMUST00000196802.2,0.0
ENSMUST00000103597.3,0.0
ENSMUST00000199800.2,0.0
ENSMUST00000196023.2,1.2709561249999999
ENSMUST00000103599.3,0.264628375
ENSMUST00000200548.2,2.4624587499999997
ENSMUST00000167409.2,0.0
ENSMUST00000103600.3,0.0
ENSMUST00000179701.2,1.2655694999999998
ENSMUST00000178650.3,0.18197575
ENSMUST00000196756.2,0.0
ENSMUST00000179512.3,0.0
ENSMUST00000103606.2,0.0
ENSMUST00000196079.2,0.0
ENSMUST00000103607.3,0.0
ENSMUST00000103608.4,0.0
ENSMUST00000103609.2,0.0
ENSMUST00000103611.2,0.0
ENSMUST00000103612.2,0.0
ENSMUST00000181793.3,0.0
ENSMUST00000103613.3,0.0
ENSMUST00000198359.2,0.0
ENSMUST00000179583.3,0.0
ENSMUST00000103626.3,0.0
ENSMUST00000178100.3,0.0
ENSMUST00000179580.3,0.0
ENSMUST00000103632.4,0.0
ENSMUST00000199280.2,0.0
ENSMUST00000103633.2,0.0
ENSMUST00000196105.2,0.0
ENSMUST00000103634.3,0.0
ENSMUST00000103652.5,0.0
ENSMUST00000103635.3,0.0
ENSMUST00000103636.4,0.0
ENSMUST00000103637.6,0.0
ENSMUST00000180549.3,0.0
ENSMUST00000183604.2,0.0
ENSMUST00000177622.4,0.0
ENSMUST00000181728.3,0.075768
ENSMUST00000103643.4,0.0
ENSMUST00000103581.6,0.0
ENSMUST00000181210.3,0.0
ENSMUST00000183488.2,0.0
ENSMUST00000103583.5,0.0
ENSMUST00000103585.4,0.0
ENSMUST00000200609.2,0.0
ENSMUST00000103651.4,0.0
ENSMUST00000198297.2,0.0
ENSMUST00000103654.3,0.0
ENSMUST00000103655.3,0.0
ENSMUST00000180972.3,0.0
ENSMUST00000103657.6,0.0
ENSMUST00000103658.4,0.0
ENSMUST00000179267.4,0.0
ENSMUST00000184874.2,0.0
ENSMUST00000103660.4,0.0
ENSMUST00000181768.3,0.153142
ENSMUST00000183835.2,0.1507395
ENSMUST00000103662.6,0.0
ENSMUST00000103663.6,0.8235598749999999
ENSMUST00000103664.6,0.0
ENSMUST00000103638.6,0.0
ENSMUST00000103641.6,0.0
ENSMUST00000184687.2,0.0
ENSMUST00000103667.6,0.08565225
ENSMUST00000180380.3,0.0
ENSMUST00000184905.2,0.0
